timestamp,unit_id,unit_type,empire_or_resistance,location_x,location_y,destination_x,destination_y,homeworld
2025-07-09 08:37:43,1,resistance_soldier,resistance,9,4,1,4,Dathomir
2025-07-09 08:37:42,2,x-wing,empire,4,2,2,8,Glee Anselm
2025-07-09 08:37:41,3,at-st,resistance,6,6,2,10,Umbara
2025-07-09 08:37:40,4,unknown,empire,1,6,10,6,Tund
2025-07-09 08:37:39,5,at-st,empire,5,4,2,2,Malastare
2025-07-09 08:37:38,6,at-st,empire,1,4,1,9,Dorin
2025-07-09 08:37:37,7,x-wing,resistance,3,9,2,7,Ryloth
2025-07-09 08:37:36,8,tie_fighter,empire,2,2,5,9,Umbara
2025-07-09 08:37:35,9,tie_silencer,resistance,8,9,2,2,Mon Cala
2025-07-09 08:37:34,10,x-wing,resistance,7,8,9,9,Quermia
2025-07-09 08:37:33,11,tie_silencer,empire,1,4,2,2,Aleen Minor
2025-07-09 08:37:32,12,tie_silencer,empire,7,10,7,2,Champala
2025-07-09 08:37:31,13,stormtrooper,resistance,4,9,3,6,Iridonia
2025-07-09 08:37:30,14,stormtrooper,empire,5,3,9,2,Kalee
2025-07-09 08:37:29,15,tie_fighter,resistance,7,7,1,3,Stewjon
2025-07-09 08:37:28,16,at-st,empire,7,6,7,6,Muunilinst
2025-07-09 08:37:27,17,tie_silencer,empire,6,10,10,3,Serenno
2025-07-09 08:37:26,18,at-at,resistance,9,7,9,1,Naboo
2025-07-09 08:37:25,19,tie_silencer,resistance,8,2,1,10,Kashyyyk
2025-07-09 08:37:24,20,tie_silencer,resistance,10,6,10,5,Shili
2025-07-09 08:37:23,21,unknown,resistance,10,9,4,10,Quermia
2025-07-09 08:37:22,22,resistance_soldier,empire,4,8,4,8,Champala
2025-07-09 08:37:21,23,x-wing,empire,10,6,4,7,Socorro
2025-07-09 08:37:20,24,resistance_soldier,empire,4,9,6,8,Serenno
2025-07-09 08:37:19,25,stormtrooper,resistance,10,7,1,10,Iridonia
2025-07-09 08:37:18,26,at-st,resistance,6,7,8,2,Naboo
2025-07-09 08:37:17,27,stormtrooper,empire,4,5,8,9,Tholoth
